filename,NAME,DESCRIPTION,BACKGROUND,SKIN,CLUB,CLOTHES,EYES,HEADWEAR
1,1,"Coffee, painting is a unique art form that involves using coffee as a medium to create images and designs.",green,Type C,2,long sleeve polo,tech B,sport visor
2,2,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,spring,Type C,5,tech suit,high tech,sport visor
3,3,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,violet,Type C,1,blue line jacket,tech A,spiky hair
4,4,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,violet,Type B,4,blue jacket,high tech,sport visor
5,5,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,mint,Type D,5,blue jacket,eyes,bucket
6,6,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,mint,Type A,2,blue jacket,tech C,sport visor
7,7,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,orange,Type D,2,blue jacket,eyes,bucket
8,8,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,orange,Type D,4,long sleeve polo,eyes,spiky hair
9,9,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,orange,Type D,1,og,tech C,spiky hair
10,10,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,pink,Type A,5,blue jacket,tech A,snapback
11,11,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,Into the golf,Type D,5,blue line jacket,eyes,bucket
12,12,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,mint,Type D,2,og,eyes,sport visor
13,13,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,spring,Type B,3,long sleeve polo,tech B,bucket
14,14,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,green,Type D,5,long sleeve polo,tech B,sport visor
15,15,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,mint,Type C,3,og,eyes,sport visor
16,16,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,orange,Type B,1,tech suit,tech C,bucket
17,17,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,mint,Type D,2,blue jacket,tech C,spiky hair
18,18,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,autumn,Type C,3,blue line jacket,eyes,spiky hair
19,19,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,violet,Type E,2,og,eyes,sport visor
20,20,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,winter,Type B,4,clothes_lean,eyes,spiky hair
21,21,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,orange,Type C,4,tech suit,tech C,lean
22,22,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,summer,Type D,3,og,eyes,sport visor
23,23,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,green,Type E,3,blue jacket,eyes,beanie
